gene	p_value	rank
ENSG00000147403.18	9.25433675440171e-22	1
ENSG00000124614.16	1.00307770603247e-21	2
ENSG00000169100.14	1.17487772156572e-21	3
ENSG00000277957.1	1.80677846445841e-21	4
ENSG00000026025.16	2.61994711091299e-21	5
ENSG00000148303.17	5.20070960202405e-21	6
ENSG00000161960.16	1.22425044465876e-20	7
ENSG00000100129.18	1.43030112790381e-20	8
ENSG00000101336.18	1.48154346430411e-20	9
ENSG00000011052.21	2.24400033212995e-20	10
ENSG00000063177.13	2.81966106690141e-20	11
ENSG00000105193.9	2.85097221858735e-20	12
ENSG00000102879.16	2.9579056427115e-20	13
ENSG00000161016.18	3.2153551387929e-20	14
ENSG00000122122.10	3.3477145547623e-20	15
ENSG00000167526.14	6.98236425213933e-20	16
ENSG00000128340.15	8.51855135225504e-20	17
ENSG00000233927.5	1.01265027254644e-19	18
ENSG00000100316.16	1.01436505573382e-19	19
ENSG00000170889.14	1.06872963980931e-19	20
ENSG00000141293.16	1.08000268080603e-19	21
ENSG00000234961.1	1.27587662282499e-19	22
ENSG00000204628.12	1.2799782441761e-19	23
ENSG00000215021.10	1.37669477669583e-19	24
ENSG00000243678.12	1.69878543193158e-19	25
ENSG00000198755.11	1.90186004246079e-19	26
ENSG00000142937.12	2.15148040242371e-19	27
ENSG00000102317.18	2.90911707427202e-19	28
ENSG00000254870.5	3.03652903343239e-19	29
ENSG00000198034.11	4.03873964342154e-19	30
ENSG00000257341.5	4.45540033774186e-19	31
ENSG00000083845.9	4.97026974758071e-19	32
ENSG00000141101.13	5.0664726416787e-19	33
ENSG00000175390.15	5.1890790084974e-19	34
ENSG00000156508.19	5.44872144097495e-19	35
ENSG00000198563.14	5.48327740314555e-19	36
ENSG00000254772.10	5.68725430399726e-19	37
ENSG00000168028.14	7.2432071296058e-19	38
ENSG00000255508.7	8.78329112132855e-19	39
ENSG00000140988.16	9.9700847618506e-19	40
ENSG00000279738.1	1.30177084241392e-18	41
ENSG00000167658.16	1.48058438189368e-18	42
ENSG00000063046.18	1.5814896904126e-18	43
ENSG00000196329.12	1.59080703509427e-18	44
ENSG00000178982.10	1.6304480158273e-18	45
ENSG00000171863.15	1.64896000096141e-18	46
ENSG00000115268.10	2.09329788594714e-18	47
ENSG00000166441.13	2.22067555877791e-18	48
ENSG00000184260.6	2.35659969131568e-18	49
ENSG00000136942.15	2.43449080615026e-18	50
ENSG00000213145.10	2.74653081351389e-18	51
ENSG00000163682.17	2.93945620356407e-18	52
ENSG00000281887.3	2.94825551377005e-18	53
ENSG00000250479.9	3.05773300093933e-18	54
ENSG00000089157.16	3.71643271341875e-18	55
ENSG00000204287.14	4.43312556985236e-18	56
ENSG00000141510.18	4.46712890938748e-18	57
ENSG00000178035.13	6.04673761827052e-18	58
ENSG00000020633.19	6.51478689430872e-18	59
ENSG00000172053.18	8.06025632108569e-18	60
ENSG00000152234.16	1.09172325069641e-17	61
ENSG00000110955.9	1.0992184582483e-17	62
ENSG00000127528.6	1.29328469127783e-17	63
ENSG00000244313.3	1.31066427360026e-17	64
ENSG00000055163.20	1.32784242264965e-17	65
ENSG00000125347.15	1.3446756716297e-17	66
ENSG00000121774.18	1.7724621134737e-17	67
ENSG00000112306.8	1.99680728753907e-17	68
