query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	evidence_codes	intersection
query_1	TRUE	1.32499823339048e-77	200	185	62	0.335135135135135	0.31	GO:0002181	GO:BP	cytoplasmic translation	20972	709	GO:0006412	IC,NAS IC,NAS IC,IDA IBA,NAS IEA,IDA NAS IC,NAS IC,IDA IBA NAS IC,NAS IC,IDA NAS IC,IC,NAS IC,IMP IBA NAS,IDA NAS IC,NAS IC,IC,NAS IC,NAS IEA,IBA NAS IC,NAS IC,IBA,NAS IEA,NAS IC,NAS IC,NAS IC,NAS IC,IBA NAS IC,IBA NAS IC,NAS IC,IDA NAS IC,NAS,IDA NAS IEA,NAS IC,IBA NAS IC,IDA IBA NAS IC,NAS IC,NAS IC,IDA NAS IC,NAS IC,NAS IC,NAS IEA,NAS IC,IDA IBA NAS IC,IDA NAS IC,IDA NAS IC,IDA NAS IC,IDA IBA NAS IC,NAS IC,IBA NAS IC,IDA NAS IC,IDA NAS IC,NAS IEA,NAS IC,NAS IC,NAS IC,IDA IBA NAS IC,NAS IC,IMP NAS IC,NAS IEA,IDA IBA NAS IEA,IBA NAS IEA,NAS IC	ENSG00000147403,ENSG00000124614,ENSG00000148303,ENSG00000161960,ENSG00000100129,ENSG00000063177,ENSG00000105193,ENSG00000161016,ENSG00000167526,ENSG00000233927,ENSG00000100316,ENSG00000170889,ENSG00000204628,ENSG00000198755,ENSG00000142937,ENSG00000198034,ENSG00000083845,ENSG00000175390,ENSG00000168028,ENSG00000140988,ENSG00000063046,ENSG00000178982,ENSG00000171863,ENSG00000115268,ENSG00000166441,ENSG00000136942,ENSG00000163682,ENSG00000089157,ENSG00000112306,ENSG00000186468,ENSG00000104529,ENSG00000100353,ENSG00000149273,ENSG00000162244,ENSG00000105640,ENSG00000147604,ENSG00000134419,ENSG00000137154,ENSG00000138326,ENSG00000145425,ENSG00000130811,ENSG00000231500,ENSG00000114391,ENSG00000156482,ENSG00000142541,ENSG00000108298,ENSG00000130255,ENSG00000197756,ENSG00000174748,ENSG00000142676,ENSG00000171858,ENSG00000147677,ENSG00000109475,ENSG00000142534,ENSG00000188846,ENSG00000071082,ENSG00000108107,ENSG00000164587,ENSG00000184110,ENSG00000107581,ENSG00000084623,ENSG00000110700
query_1	TRUE	9.05063367275719e-58	712	185	75	0.405405405405405	0.105337078651685	GO:0160307	GO:BP	protein biosynthetic process	20972	19039	GO:0009059;GO:0010467;GO:0019538	IMP IBA NAS IC IEA,NAS IC,TAS NAS IC,IDA IBA NAS IEA,IDA IBA NAS IC IEA,IDA TAS NAS IC IEA,NAS IC IEA,IDA IBA TAS NAS IC IEA,TAS NAS IC IEA,IDA NAS IC IEA,IBA TAS NAS IC IEA,IMP NAS IC IEA,IMP ISS IBA NAS IEA,IDA NAS IC IEA,NAS IC IEA,ISS IBA,IMP IBA IC IEA,IGI IBA NAS IC IEA,IDA IBA NAS IC IEA,IDA IBA TAS IEA,IBA IEA,IBA NAS IC IEA,IBA NAS IC IEA,IDA IMP IBA IEA,IBA TAS IEA,IDA NAS IC IEA,NAS IC IEA,NAS IC IEA,TAS NAS IC IEA,TAS NAS IC IEA,IBA TAS NAS IC IEA,IBA NAS IC,IDA IBA TAS IEA,IDA,IBA NAS IC IEA,IBA NAS IEA,IDA IMP IBA NAS IC IEA,IBA NAS IEA,IDA IPI IBA NAS IC IEA,IDA NAS IC IEA,IBA TAS NAS IC IEA,IDA IBA TAS NAS IC IEA,TAS NAS IC,NAS IC IEA,IDA NAS IC IEA,TAS,NAS IC IEA,IMP TAS NAS IC IEA,IDA IMP,IDA NAS IC IEA,NAS IC IEA,IDA IBA TAS NAS IC IEA,IDA TAS NAS IC,IDA IMP IBA NAS IC IEA,IDA TAS NAS IC IEA,IDA IBA NAS IC IEA,NAS IC IEA,TAS,IEA,IBA TAS NAS IC IEA,IDA IBA TAS NAS IC IEA,IDA NAS IC IEA,IDA IBA TAS NAS IC IEA,TAS NAS IC IEA,NAS IC IEA,TAS NAS IC IEA,IDA IBA TAS NAS IC IEA,ISS NAS IEA,TAS NAS IC IEA,IMP IBA NAS IC IEA,IDA IPI IBA NAS IC IEA,IDA IBA NAS IC IEA,IDA IBA NAS IC IEA,IDA IBA IEA,NAS IC IEA	ENSG00000147403,ENSG00000124614,ENSG00000148303,ENSG00000161960,ENSG00000100129,ENSG00000063177,ENSG00000105193,ENSG00000161016,ENSG00000167526,ENSG00000233927,ENSG00000100316,ENSG00000170889,ENSG00000204628,ENSG00000198755,ENSG00000142937,ENSG00000102317,ENSG00000198034,ENSG00000083845,ENSG00000175390,ENSG00000156508,ENSG00000254772,ENSG00000168028,ENSG00000140988,ENSG00000167658,ENSG00000063046,ENSG00000178982,ENSG00000171863,ENSG00000115268,ENSG00000166441,ENSG00000136942,ENSG00000163682,ENSG00000089157,ENSG00000172053,ENSG00000121774,ENSG00000112306,ENSG00000114942,ENSG00000186468,ENSG00000104529,ENSG00000100353,ENSG00000149273,ENSG00000162244,ENSG00000105640,ENSG00000147604,ENSG00000134419,ENSG00000137154,ENSG00000155463,ENSG00000138326,ENSG00000145425,ENSG00000149658,ENSG00000130811,ENSG00000231500,ENSG00000114391,ENSG00000156482,ENSG00000142541,ENSG00000108298,ENSG00000130255,ENSG00000197756,ENSG00000117676,ENSG00000170515,ENSG00000174748,ENSG00000142676,ENSG00000171858,ENSG00000147677,ENSG00000109475,ENSG00000142534,ENSG00000188846,ENSG00000071082,ENSG00000266472,ENSG00000108107,ENSG00000164587,ENSG00000184110,ENSG00000107581,ENSG00000084623,ENSG00000065427,ENSG00000110700
query_1	TRUE	9.05063367275719e-58	712	185	75	0.405405405405405	0.105337078651685	GO:0006412	GO:BP	translation	20972	2062	GO:0009059;GO:0019538;GO:0160307	IMP IBA NAS IC IEA,NAS IC,TAS NAS IC,IDA IBA NAS IEA,IDA IBA NAS IC IEA,IDA TAS NAS IC IEA,NAS IC IEA,IDA IBA TAS NAS IC IEA,TAS NAS IC IEA,IDA NAS IC IEA,IBA TAS NAS IC IEA,IMP NAS IC IEA,IMP ISS IBA NAS IEA,IDA NAS IC IEA,NAS IC IEA,ISS IBA,IMP IBA IC IEA,IGI IBA NAS IC IEA,IDA IBA NAS IC IEA,IDA IBA TAS IEA,IBA IEA,IBA NAS IC IEA,IBA NAS IC IEA,IDA IMP IBA IEA,IBA TAS IEA,IDA NAS IC IEA,NAS IC IEA,NAS IC IEA,TAS NAS IC IEA,TAS NAS IC IEA,IBA TAS NAS IC IEA,IBA NAS IC,IDA IBA TAS IEA,IDA,IBA NAS IC IEA,IBA NAS IEA,IDA IMP IBA NAS IC IEA,IBA NAS IEA,IDA IPI IBA NAS IC IEA,IDA NAS IC IEA,IBA TAS NAS IC IEA,IDA IBA TAS NAS IC IEA,TAS NAS IC,NAS IC IEA,IDA NAS IC IEA,TAS,NAS IC IEA,IMP TAS NAS IC IEA,IDA IMP,IDA NAS IC IEA,NAS IC IEA,IDA IBA TAS NAS IC IEA,IDA TAS NAS IC,IDA IMP IBA NAS IC IEA,IDA TAS NAS IC IEA,IDA IBA NAS IC IEA,NAS IC IEA,TAS,IEA,IBA TAS NAS IC IEA,IDA IBA TAS NAS IC IEA,IDA NAS IC IEA,IDA IBA TAS NAS IC IEA,TAS NAS IC IEA,NAS IC IEA,TAS NAS IC IEA,IDA IBA TAS NAS IC IEA,ISS NAS IEA,TAS NAS IC IEA,IMP IBA NAS IC IEA,IDA IPI IBA NAS IC IEA,IDA IBA NAS IC IEA,IDA IBA NAS IC IEA,IDA IBA IEA,NAS IC IEA	ENSG00000147403,ENSG00000124614,ENSG00000148303,ENSG00000161960,ENSG00000100129,ENSG00000063177,ENSG00000105193,ENSG00000161016,ENSG00000167526,ENSG00000233927,ENSG00000100316,ENSG00000170889,ENSG00000204628,ENSG00000198755,ENSG00000142937,ENSG00000102317,ENSG00000198034,ENSG00000083845,ENSG00000175390,ENSG00000156508,ENSG00000254772,ENSG00000168028,ENSG00000140988,ENSG00000167658,ENSG00000063046,ENSG00000178982,ENSG00000171863,ENSG00000115268,ENSG00000166441,ENSG00000136942,ENSG00000163682,ENSG00000089157,ENSG00000172053,ENSG00000121774,ENSG00000112306,ENSG00000114942,ENSG00000186468,ENSG00000104529,ENSG00000100353,ENSG00000149273,ENSG00000162244,ENSG00000105640,ENSG00000147604,ENSG00000134419,ENSG00000137154,ENSG00000155463,ENSG00000138326,ENSG00000145425,ENSG00000149658,ENSG00000130811,ENSG00000231500,ENSG00000114391,ENSG00000156482,ENSG00000142541,ENSG00000108298,ENSG00000130255,ENSG00000197756,ENSG00000117676,ENSG00000170515,ENSG00000174748,ENSG00000142676,ENSG00000171858,ENSG00000147677,ENSG00000109475,ENSG00000142534,ENSG00000188846,ENSG00000071082,ENSG00000266472,ENSG00000108107,ENSG00000164587,ENSG00000184110,ENSG00000107581,ENSG00000084623,ENSG00000065427,ENSG00000110700
query_1	TRUE	4.90418620154011e-22	4467	185	104	0.562162162162162	0.0232818446384598	GO:0019538	GO:BP	protein metabolic process	20972	5499	GO:0043170;GO:0044238	IMP IBA NAS IC IEA,NAS IC,IEA,TAS NAS IC,IDA IBA NAS IEA,IDA IBA NAS IC IEA,IMP TAS IEA,IDA TAS NAS IC IEA,NAS IC IEA,IDA IBA TAS NAS IC IEA,TAS NAS IC IEA,IDA NAS IC IEA,IBA TAS NAS IC IEA,IMP NAS IC IEA,IDA IMP ISS IBA NAS IEA,IDA NAS IC IEA,NAS IC IEA,ISS IBA,IMP IBA IC IEA,IGI IBA NAS IC IEA,IDA IBA NAS IC IEA,IDA IBA TAS NAS IEA,IBA IEA,IBA NAS IC IEA,IDA IBA NAS IC IEA,IDA IMP IBA IEA,IBA TAS IEA,IDA NAS IC IEA,IDA NAS IC IEA,NAS IC IEA,TAS NAS IC IEA,TAS NAS IC IEA,IBA TAS NAS IC IEA,IBA NAS IC,IEA,IDA,IDA IBA TAS IEA,IGI,IDA,IDA,IBA NAS IC IEA,IBA NAS IEA,IEA,IDA IEA,IDA IMP IBA NAS IC IEA,IDA IBA TAS IEA,IGI,IDA IMP IEA,IDA IMP ISS IBA TAS NAS IEA,IBA NAS IEA,IDA IPI IBA NAS IC IEA,IDA NAS IC IEA,IBA TAS NAS IC IEA,IDA IBA TAS NAS IC IEA,TAS NAS IC,IDA IMP IEA,IDA,NAS IC IEA,IDA NAS IC IEA,IDA TAS,NAS IC IEA,IDA TAS IEA,IEA,IMP TAS NAS IC IEA,IDA,IDA,IDA IMP,IDA NAS IC IEA,NAS IC IEA,IDA IBA TAS NAS IC IEA,IDA IMP IBA TAS IEA,IBA,IDA TAS NAS IC,IDA IMP IBA NAS IC IEA,IMP IEA,IDA TAS NAS IC IEA,IDA IBA NAS IC IEA,NAS IC IEA,IMP TAS IEA,IMP IEA,IEA,IBA TAS NAS IC IEA,IDA IMP ISS IBA TAS NAS IC IEA,IBA NAS IEA,IDA IBA IEA,IDA NAS IC IEA,IDA,IDA IBA TAS NAS IC IEA,TAS NAS IC IEA,NAS IC IEA,TAS NAS IC IEA,IDA IBA TAS NAS IC IEA,IMP IEA,ISS NAS IEA,TAS NAS IC IEA,IDA IMP IEA,IMP IBA NAS IC IEA,IDA IPI IBA NAS IC IEA,IDA,IDA IBA NAS IC IEA,IDA IBA NAS IC IEA,IDA IBA IEA,IEA,NAS IC IEA	ENSG00000147403,ENSG00000124614,ENSG00000277957,ENSG00000148303,ENSG00000161960,ENSG00000100129,ENSG00000101336,ENSG00000063177,ENSG00000105193,ENSG00000161016,ENSG00000167526,ENSG00000233927,ENSG00000100316,ENSG00000170889,ENSG00000204628,ENSG00000198755,ENSG00000142937,ENSG00000102317,ENSG00000198034,ENSG00000083845,ENSG00000175390,ENSG00000156508,ENSG00000254772,ENSG00000168028,ENSG00000140988,ENSG00000167658,ENSG00000063046,ENSG00000178982,ENSG00000171863,ENSG00000115268,ENSG00000166441,ENSG00000136942,ENSG00000163682,ENSG00000089157,ENSG00000141510,ENSG00000020633,ENSG00000172053,ENSG00000127528,ENSG00000055163,ENSG00000121774,ENSG00000112306,ENSG00000114942,ENSG00000266094,ENSG00000182718,ENSG00000186468,ENSG00000135624,ENSG00000092820,ENSG00000111679,ENSG00000109971,ENSG00000104529,ENSG00000100353,ENSG00000149273,ENSG00000162244,ENSG00000105640,ENSG00000147604,ENSG00000143222,ENSG00000204435,ENSG00000134419,ENSG00000137154,ENSG00000155463,ENSG00000138326,ENSG00000072786,ENSG00000275700,ENSG00000145425,ENSG00000169230,ENSG00000204371,ENSG00000149658,ENSG00000130811,ENSG00000231500,ENSG00000114391,ENSG00000130726,ENSG00000138629,ENSG00000156482,ENSG00000142541,ENSG00000169567,ENSG00000108298,ENSG00000130255,ENSG00000197756,ENSG00000117676,ENSG00000111144,ENSG00000170515,ENSG00000174748,ENSG00000142676,ENSG00000277791,ENSG00000150753,ENSG00000171858,ENSG00000160255,ENSG00000147677,ENSG00000109475,ENSG00000142534,ENSG00000188846,ENSG00000071082,ENSG00000105373,ENSG00000266472,ENSG00000108107,ENSG00000182866,ENSG00000164587,ENSG00000184110,ENSG00000167851,ENSG00000107581,ENSG00000084623,ENSG00000065427,ENSG00000183049,ENSG00000110700
query_1	TRUE	1.98104837699735e-21	316	185	32	0.172972972972973	0.10126582278481	GO:0042254	GO:BP	ribosome biogenesis	20972	9411	GO:0022613	IBA IEA,IDA IMP IBA,IDA IMP IBA,IDA IBA,IDA IBA,IDA,IDA IBA,IBA TAS IEA,IBA IEA,IDA IMP IBA,IMP IBA,IBA IEA,IEA,IDA IBA,IDA,IMP IBA IEA,IDA,IDA IMP,IDA IMP,IDA IEA,IDA,IEA,IDA IBA TAS IEA,IEA,IMP,IBA,IDA,IMP IBA,IEA,IMP IBA IEA,IDA ISS IBA,IDA	ENSG00000148303,ENSG00000105193,ENSG00000233927,ENSG00000170889,ENSG00000142937,ENSG00000198034,ENSG00000083845,ENSG00000141101,ENSG00000168028,ENSG00000171863,ENSG00000115268,ENSG00000136942,ENSG00000089157,ENSG00000112306,ENSG00000186468,ENSG00000147604,ENSG00000134419,ENSG00000137154,ENSG00000138326,ENSG00000275700,ENSG00000145425,ENSG00000114391,ENSG00000105202,ENSG00000170515,ENSG00000142676,ENSG00000171858,ENSG00000142534,ENSG00000188846,ENSG00000156697,ENSG00000105373,ENSG00000164587,ENSG00000110700
query_1	TRUE	4.39929464126228e-21	105	185	22	0.118918918918919	0.20952380952381	GO:0042274	GO:BP	ribosomal small subunit biogenesis	20972	9422	GO:0022613;GO:0042254	IDA IMP IBA,IDA IMP IBA,IDA IBA,IDA IBA,IDA,IDA IBA,IBA IEA,IBA IEA,IDA IMP IBA,IMP IBA,IDA IBA,IDA,IDA,IDA IMP,IDA IMP,IDA,IDA,IDA,IBA,IDA,IDA ISS IBA,IDA	ENSG00000105193,ENSG00000233927,ENSG00000170889,ENSG00000142937,ENSG00000198034,ENSG00000083845,ENSG00000141101,ENSG00000168028,ENSG00000171863,ENSG00000115268,ENSG00000112306,ENSG00000186468,ENSG00000134419,ENSG00000137154,ENSG00000138326,ENSG00000275700,ENSG00000145425,ENSG00000105202,ENSG00000171858,ENSG00000142534,ENSG00000164587,ENSG00000110700
query_1	TRUE	1.88957644708959e-12	125	185	17	0.0918918918918919	0.136	GO:0006413	GO:BP	translational initiation	20972	2063	GO:0006412;GO:0008152	IDA IBA NAS IEA,IDA IBA NAS IC IEA,IC,IDA IBA NAS IC IEA,IBA TAS IEA,IDA NAS IC IEA,IDA,IDA IBA NAS IC IEA,NAS,TAS,IDA,IDA NAS IC IEA,IDA,IDA IBA TAS NAS IC IEA,IDA IBA NAS IC IEA,IDA IBA NAS IC IEA,IDA IBA NAS IC IEA	ENSG00000161960,ENSG00000100129,ENSG00000083845,ENSG00000175390,ENSG00000063046,ENSG00000178982,ENSG00000121774,ENSG00000100353,ENSG00000149273,ENSG00000145425,ENSG00000149658,ENSG00000130811,ENSG00000142541,ENSG00000147677,ENSG00000184110,ENSG00000107581,ENSG00000084623
query_1	TRUE	2.44531263852628e-12	15	185	9	0.0486486486486487	0.6	GO:0001732	GO:BP	formation of cytoplasmic translation initiation complex	20972	398	GO:0002183;GO:0022618	NAS IEA,NAS IEA,NAS IEA,NAS IEA,NAS IEA,NAS IEA,NAS IEA,IDA IBA NAS IEA,NAS IEA	ENSG00000100129,ENSG00000175390,ENSG00000178982,ENSG00000100353,ENSG00000130811,ENSG00000147677,ENSG00000184110,ENSG00000107581,ENSG00000084623
query_1	TRUE	1.1894427643567e-11	47	185	12	0.0648648648648649	0.25531914893617	GO:0002183	GO:BP	cytoplasmic translational initiation	20972	711	GO:0002181;GO:0006413	IDA IBA,NAS IEA,NAS IEA,IBA,NAS IEA,IDA NAS IEA,NAS IEA,IDA,NAS IEA,NAS IEA,IDA IBA NAS IEA,IBA NAS IEA	ENSG00000161960,ENSG00000100129,ENSG00000175390,ENSG00000063046,ENSG00000178982,ENSG00000100353,ENSG00000130811,ENSG00000142541,ENSG00000147677,ENSG00000184110,ENSG00000107581,ENSG00000084623
query_1	TRUE	2.09287295892354e-10	222	185	19	0.102702702702703	0.0855855855855856	GO:0006364	GO:BP	rRNA processing	20972	2032	GO:0006396;GO:0016072;GO:0042254	IBA,IMP IBA,IMP IBA,IBA,IBA TAS,IMP IBA,IMP,IBA IEA,IMP IBA IEA,IMP,IMP,IDA IBA TAS IEA,IEA,IMP,IBA,IMP,IEA,IBA,ISS	ENSG00000148303,ENSG00000105193,ENSG00000233927,ENSG00000142937,ENSG00000141101,ENSG00000171863,ENSG00000115268,ENSG00000136942,ENSG00000147604,ENSG00000137154,ENSG00000138326,ENSG00000105202,ENSG00000170515,ENSG00000142676,ENSG00000171858,ENSG00000188846,ENSG00000156697,ENSG00000105373,ENSG00000164587
