gene	p_value	rank
piR-hsa-165712	5.79084058756204e-06	1
piR-hsa-406834	7.1818488211707e-06	2
piR-hsa-498220	1.07105079644512e-05	3
piR-hsa-175789	1.18360343307221e-05	4
hsa-mir-1246	1.59448579434929e-05	5
hsa-mir-320d-2	2.48710064827806e-05	6
piR-hsa-2829779	2.50088082885684e-05	7
piR-hsa-1276579	3.33376414932892e-05	8
hsa-mir-320b-1	3.62463302121359e-05	9
hsa-mir-320b-2	4.71454403198861e-05	10
piR-hsa-2864441	5.91362773110033e-05	11
piR-hsa-181717	6.35314715813147e-05	12
hsa-mir-320c-1	6.36931268323651e-05	13
hsa-mir-320c-2	7.4112306903547e-05	14
piR-hsa-177706	8.71665492705155e-05	15
piR-hsa-176942	0.000121542179763335	16
piR-hsa-369686	0.00013240327388897	17
piR-hsa-148248	0.000153826455646149	18
piR-hsa-1299829	0.000160539458002158	19
hsa-mir-193a	0.000177163578628186	20
piR-hsa-745596	0.000201205870194328	21
piR-hsa-2850186	0.000205096483416492	22
piR-hsa-677732	0.000256799215875012	23
piR-hsa-723121	0.000259417350308097	24
piR-hsa-179676	0.000260420369285709	25
piR-hsa-133920	0.000269917389946926	26
hsa-mir-320e	0.000295884120282646	27
piR-hsa-810073	0.000301579742081791	28
hsa-mir-22	0.00031823745612898	29
piR-hsa-138578	0.000325021143878199	30
piR-hsa-137511	0.000339380225300699	31
piR-hsa-803954	0.000344695967428127	32
piR-hsa-359144	0.000380049296807306	33
hsa-mir-760	0.000391570074606349	34
hsa-mir-510	0.000396503635812231	35
piR-hsa-2854993	0.000418709557326026	36
piR-hsa-143717	0.000453000240262675	37
piR-hsa-193395	0.000473778883467112	38
piR-hsa-177621	0.000478860421726474	39
piR-hsa-193955	0.000514045815861116	40
piR-hsa-256282	0.000521348293869779	41
hsa-mir-1343	0.000531656890687725	42
piR-hsa-398787	0.000542592308027022	43
piR-hsa-152560	0.000609299314184055	44
piR-hsa-182012	0.000634567510830149	45
piR-hsa-178024	0.000691205247697487	46
hsa-mir-423	0.000706668599310792	47
piR-hsa-184576	0.000745836243395649	48
piR-hsa-796445	0.000755366043972483	49
piR-hsa-161487	0.000762039646549748	50
piR-hsa-774648	0.000792410667471281	51
piR-hsa-768708	0.000910719993684096	52
piR-hsa-2678961	0.000913279033961749	53
piR-hsa-391184	0.000923911771373191	54
hsa-mir-320a	0.00095883203922064	55
piR-hsa-1250731	0.000979810878459608	56
piR-hsa-102632	0.001089313656429	57
piR-hsa-1308389	0.00109123550070483	58
piR-hsa-175858	0.00109288333907041	59
piR-hsa-133584	0.00109841999916667	60
piR-hsa-735295	0.0011221366318721	61
piR-hsa-188615	0.00113841514171035	62
piR-hsa-765744	0.00114451308540496	63
piR-hsa-792731	0.00115230176654623	64
hsa-mir-188	0.00126998032372233	65
piR-hsa-144578	0.00131009174495977	66
piR-hsa-182629	0.00132077343766577	67
piR-hsa-173495	0.00139118720865221	68
piR-hsa-180179	0.00142717763158659	69
piR-hsa-380192	0.00144899310541877	70
piR-hsa-723374	0.00144949234901594	71
piR-hsa-173573	0.00152376294289181	72
piR-hsa-374870	0.00154766564573693	73
hsa-mir-130a	0.00158113724350478	74
piR-hsa-188493	0.00166097152916533	75
piR-hsa-158839	0.00166308177130711	76
piR-hsa-161082	0.00170834658813456	77
piR-hsa-179187	0.00175392858840079	78
piR-hsa-182712	0.00176385251143314	79
piR-hsa-2830950	0.00179201591939222	80
piR-hsa-793941	0.00180677768608364	81
piR-hsa-133609	0.00182322714000543	82
piR-hsa-372172	0.00185667247016305	83
piR-hsa-2866540	0.00188374008477909	84
hsa-mir-671	0.00189933876640143	85
piR-hsa-1319629	0.00190659704040429	86
piR-hsa-751359	0.00193448289354457	87
piR-hsa-113904	0.00195224786825461	88
piR-hsa-386750	0.00198658782845456	89
hsa-mir-873	0.00205256828467063	90
piR-hsa-802472	0.00220692681339414	91
piR-hsa-665453	0.00227043905563153	92
piR-hsa-1299109	0.00229535553890561	93
hsa-mir-130b	0.00229878969896476	94
piR-hsa-735479	0.00235475189614041	95
piR-hsa-156473	0.00236259698219611	96
piR-hsa-348176	0.00243378092275519	97
piR-hsa-751446	0.00250217712117984	98
hsa-mir-483	0.00257625665501417	99
piR-hsa-192798	0.00258047621604041	100
hsa-mir-215	0.00273102107143307	101
piR-hsa-163568	0.0027733558606988	102
piR-hsa-757768	0.00279227642737348	103
hsa-mir-129-1	0.00293929799626388	104
piR-hsa-171879	0.00294522997500639	105
piR-hsa-1551439	0.00301687029324941	106
piR-hsa-160876	0.00313276888772764	107
hsa-mir-376a-1	0.00314510381058825	108
piR-hsa-737193	0.00315876089863488	109
piR-hsa-807990	0.00325560953110662	110
piR-hsa-732641	0.00325673070695163	111
piR-hsa-729346	0.00325819645374901	112
piR-hsa-173727	0.00326030637110873	113
piR-hsa-2855713	0.00329505333336522	114
hsa-mir-129-2	0.00336494002564474	115
hsa-mir-3074	0.00340538368815161	116
piR-hsa-342427	0.0034092100482515	117
piR-hsa-732665	0.00351354592595192	118
piR-hsa-3547887	0.00352040814053026	119
hsa-mir-1264	0.00361173032230602	120
piR-hsa-776822	0.00367181937317832	121
piR-hsa-749421	0.00370338780784276	122
piR-hsa-161876	0.00370783018559922	123
piR-hsa-745478	0.00371411162832622	124
piR-hsa-148612	0.00373730001664776	125
piR-hsa-162515	0.00374312744445164	126
piR-hsa-183990	0.00378874059793716	127
piR-hsa-2854779	0.00387866162291776	128
piR-hsa-1937009	0.00390844699720816	129
piR-hsa-2839551	0.00426304676541026	130
piR-hsa-187270	0.00431577151034461	131
hsa-mir-30b	0.00448230100324787	132
piR-hsa-804101	0.00455811292754557	133
hsa-mir-204	0.00457063824801731	134
piR-hsa-803791	0.00463394858981805	135
hsa-mir-874	0.00465853923091787	136
piR-hsa-181410	0.00470471259312466	137
piR-hsa-397330	0.00475649172280969	138
piR-hsa-742704	0.004769549922193	139
piR-hsa-135441	0.00487232847997739	140
piR-hsa-156759	0.00487871747300442	141
hsa-mir-128-1	0.00489310448497991	142
piR-hsa-142755	0.00491436965401664	143
hsa-mir-1251	0.0049379292120409	144
piR-hsa-2858950	0.00496757824247002	145
piR-hsa-167641	0.00496935960926177	146
piR-hsa-810360	0.00525311224879476	147
hsa-mir-541	0.00536512855684763	148
piR-hsa-117386	0.00540545200528815	149
piR-hsa-643147	0.00562775440337066	150
piR-hsa-165925	0.00567475169492698	151
piR-hsa-154568	0.00580850338056371	152
piR-hsa-134766	0.00602475590531279	153
piR-hsa-191250	0.00609071191381257	154
hsa-mir-1290	0.00635669051406174	155
piR-hsa-156715	0.00638184823299183	156
piR-hsa-53759	0.00652104404383387	157
piR-hsa-76242	0.00653086080409371	158
piR-hsa-738677	0.0065875481091398	159
piR-hsa-154273	0.00660494057525199	160
piR-hsa-1317564	0.00660496799442052	161
piR-hsa-165768	0.00661877893798373	162
piR-hsa-163794	0.00662826776875716	163
piR-hsa-153778	0.0070917616762038	164
hsa-mir-181b-1	0.00717775545038714	165
piR-hsa-136728	0.00727899156347869	166
hsa-mir-4429	0.00751190058709498	167
piR-hsa-135998	0.00757365540300564	168
piR-hsa-370171	0.00762333822410009	169
piR-hsa-1263035	0.00768528987536774	170
piR-hsa-806762	0.00777541203059349	171
hsa-mir-514a-1	0.00782241891477959	172
hsa-mir-376a-2	0.0078568216171499	173
piR-hsa-154530	0.00789252099102695	174
piR-hsa-137746	0.00792701889035874	175
hsa-mir-210	0.00804174696131916	176
piR-hsa-177319	0.00804447019356333	177
