ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
113	"ENSMUSG00000025626"	"Phf6"	chrX	+	52931572	52931706	52917165	52917267	52931980	52932024	113	21	0	12	1	168	34	0.309667935537	0.48662104155814284	1.0	0.708	0.292
146	"ENSMUSG00000031328"	"Flna"	chrX	-	74232966	74232990	74230505	74230753	74233148	74233338	146	48	21	79	17	58	34	0.0706514165659	0.12952759703748334	0.573	0.731	-0.158
149	"ENSMUSG00000025862"	"Stag2"	chrX	+	42266365	42266476	42266085	42266275	42269380	42269507	149	4	0	4	8	145	34	0.000114747449342	0.000631110971381	1.0	0.105	0.895
168	"ENSMUSG00000036572"	"Upf3b"	chrX	-	37099065	37099104	37096857	37097018	37099506	37099689	168	15	1	1	0	73	34	0.377899385441	0.519611654981375	0.875	1.0	-0.125
189	"ENSMUSG00000031422"	"Morf4l2"	chrX	-	136740945	136741119	136739804	136739894	136741209	136741276	189	6	0	4	11	208	34	2.01837335265e-05	0.0002220210687915	1.0	0.056	0.944
206	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8144174	8144445	8143847	8143947	8144572	8144679	206	7	270	5	144	305	34	1	1.0	0.003	0.004	-0.001
266	"ENSMUSG00000031060"	"Rbm10"	chrX	+	20637425	20637656	20635730	20635914	20639432	20639502	266	7	3	14	4	265	34	0.611657335601	0.7475811879567777	0.23	0.31	-0.08
285	"ENSMUSG00000041229"	"Phf8"	chrX	+	151572365	151572668	151570341	151570431	151573412	151573516	285	1	1	3	0	337	34	0.000576376287366	0.002113379720342	0.092	1.0	-0.908
364	"ENSMUSG00000037636"	"Slc25a43"	chrX	+	36752132	36752374	36743658	36744018	36757767	36757940	364	1	0	4	1	276	34	0.00988341696782	0.021743517329204	1.0	0.33	0.67
551	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	157593724	157593873	157591056	157591555	157598495	157598643	551	1	1	2	0	183	34	0.00192430331088	0.00529183410492	0.157	1.0	-0.843
570	"ENSMUSG00000025332"	"Kdm5c"	chrX	+	152270693	152270831	152270351	152270531	152271011	152271593	570	23	1	13	0	172	34	0.741387099723	0.8155258096953	0.82	1.0	-0.18
