ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
13	"ENSMUSG00000037475"	"Thoc2"	chrX	-	41822692	41823546	41822692	41822871	41823361	41823546	13	4	4	6	0	524	34	2.04302818032e-05	0.0001174741203684	0.061	1.0	-0.939
17	"ENSMUSG00000000134"	"Tfe3"	chrX	+	7766554	7767684	7766554	7766855	7767438	7767684	17	1	0	0	2	617	34	1.24416570185e-05	9.538603714183334e-05	1.0	0.0	1.0
20	"ENSMUSG00000000134"	"Tfe3"	chrX	+	7772448	7775201	7772448	7772596	7773493	7775201	20	1	8	2	7	931	34	1	1.0	0.005	0.01	-0.005
26	"ENSMUSG00000031065"	"Cdk16"	chrX	+	20696017	20696467	20696017	20696141	20696346	20696467	26	2	24	4	5	239	34	0.0286772153735	0.07328621706561111	0.012	0.102	-0.09
29	"ENSMUSG00000064127"	"Med14"	chrX	-	12706298	12706692	12706298	12706445	12706531	12706692	29	0	5	2	0	120	34	9.58247037008e-06	9.538603714183334e-05	0.0	1.0	-1.0
30	"ENSMUSG00000031146"	"Plp2"	chrX	-	7669414	7669758	7669414	7669510	7669602	7669758	30	1	30	0	37	126	34	1	1.0	0.009	0.0	0.009
33	"ENSMUSG00000039231"	"Suv39h1"	chrX	-	8063695	8064057	8063695	8063825	8063910	8064057	33	1	2	0	1	119	34	0.276547407369	0.53004919745725	0.125	0.0	0.125
34	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8143847	8144679	8143847	8143947	8144572	8144679	34	22	270	11	144	659	34	1	1.0	0.004	0.004	0.0
37	"ENSMUSG00000031386"	"Hcfc1"	chrX	-	73946709	73947050	73946709	73946847	73946934	73947050	37	0	6	3	4	121	34	0.0223268349509	0.0641896504838375	0.0	0.174	-0.174
49	"ENSMUSG00000000787"	"Ddx3x"	chrX	+	13287224	13287563	13287224	13287383	13287463	13287563	49	3	32	4	0	114	34	4.92861248169e-06	9.538603714183334e-05	0.027	1.0	-0.973
50	"ENSMUSG00000000787"	"Ddx3x"	chrX	+	13288278	13288671	13288278	13288364	13288572	13288671	50	2	44	0	20	242	34	1	1.0	0.006	0.0	0.006
62	"ENSMUSG00000008682"	"Rpl10"	chrX	+	74271659	74271907	74271659	74271718	74271799	74271907	62	2	0	1	10	115	34	7.7295732738e-05	0.00029630030882899996	1.0	0.029	0.971
67	"ENSMUSG00000015291"	"Gdi1"	chrX	+	74307671	74308261	74307671	74307870	74308129	74308261	67	14	11	13	4	293	34	0.200183473144	0.4185654438465454	0.129	0.274	-0.145
69	"ENSMUSG00000001962"	"Fam50a"	chrX	+	74314863	74315572	74314863	74314963	74315426	74315572	69	1	6	0	20	497	34	1	1.0	0.011	0.0	0.011
75	"ENSMUSG00000002010"	"Idh3g"	chrX	-	73780573	73781030	73780573	73780707	73780897	73781030	75	3	26	3	10	224	34	0.402954954481	0.6619974252187857	0.017	0.044	-0.027
80	"ENSMUSG00000025151"	"Maged1"	chrX	-	94536873	94537356	94536873	94536988	94537293	94537356	80	7	99	6	62	339	34	1	1.0	0.007	0.01	-0.003
81	"ENSMUSG00000025151"	"Maged1"	chrX	-	94537293	94537584	94537293	94537356	94537541	94537584	81	0	38	2	33	219	34	1	1.0	0.0	0.009	-0.009
82	"ENSMUSG00000025151"	"Maged1"	chrX	-	94537675	94538065	94537675	94537755	94537973	94538065	82	16	30	3	16	252	34	0.0621699997883	0.14299099951309	0.067	0.025	0.042
90	"ENSMUSG00000031311"	"Nono"	chrX	+	101444687	101445334	101444687	101444790	101445294	101445334	90	10	390	13	374	538	34	1	1.0	0.002	0.002	0.0
94	"ENSMUSG00000031232"	"Magt1"	chrX	-	105968083	105971479	105968083	105971026	105971435	105971479	94	52	2	20	2	443	34	0.299635716334	0.5301247288986153	0.666	0.434	0.232
101	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	74300577	74301358	74300577	74300771	74301323	74301358	101	7	4	6	4	586	34	0.850653998775	1.0	0.092	0.08	0.012
108	"ENSMUSG00000025268"	"Maged2"	chrX	-	150808720	150809152	150808720	150808783	150809109	150809152	108	5	7	2	0	360	34	0.000662850172041	0.002177936279563286	0.063	1.0	-0.937
110	"ENSMUSG00000025332"	"Kdm5c"	chrX	+	152244872	152245283	152244872	152244996	152245101	152245283	110	1	0	0	3	139	34	2.86212184231e-05	0.00013165760474626	1.0	0.0	1.0
